MOI	Freq	A	B
4	0.27	0.927011377097945	1.53657457438251
4	0.28	0.927832482380577	1.50093341842095
4	0.29	0.934517462764694	1.46538864982591
4	0.3	0.940406582525326	1.4513632319612
4	0.31	0.941341770602499	1.42633320894002
4	0.32	0.931856124172089	1.37595725906605
4	0.33	0.949426979833275	1.35989962835802
4	0.34	0.949248309495408	1.3396529828198
4	0.35	0.952009790163343	1.32136350972065
4	0.36	0.959377234081661	1.30232508624013
4	0.37	0.97198513956667	1.27496408146026
4	0.38	0.971444587638389	1.25755520311188
4	0.39	0.963627259388462	1.22985156186334
4	0.4	0.983485775780951	1.21420086650866
4	0.41	0.979201562418353	1.19519194404305
4	0.42	1.00337924355589	1.19116554493624
4	0.43	1.00698233240679	1.15901515728643
4	0.44	1.00757644955332	1.15760724867343
4	0.45	1.05157984325091	1.15696825000829
